V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
4591,2012-02-19,2012,2012-10-12,1,0,2012,1514.66834191319,13157,63583
4596,2011-06-21,2011,2011-12-31,0,0,2012,1509.19290984491,13166,63622
4598,2013-01-01,2013,2013-12-31,1,0,2013,-844.596174942486,13185,63687
4599,2011-01-01,2011,2011-12-19,0,0,2011,1578.40107777887,13188,63706
4600,2012-01-01,2012,2012-11-27,0,0,2012,958.653305152305,13191,63716
4601,2011-01-01,2011,2011-12-31,0,0,2011,1455.9583449133,13192,63719
4602,2012-01-15,2012,2012-10-15,0,0,2012,3026.98699053724,13192,63720
4603,2013-01-01,2013,2013-12-31,0,0,2013,643.438716890526,13196,63743
4604,2013-01-01,2013,2013-12-31,1,0,2013,-654.648262857093,13196,63743
4605,2012-01-01,2012,2012-12-31,0,0,2012,4649.8921214853,13204,63772
4606,2012-01-01,2012,2012-12-31,0,0,2012,5030.96279230066,13204,63776
4607,2013-01-13,2013,2013-12-31,0,0,2014,4393.68932569175,13211,63798
4608,2011-01-02,2011,2011-12-31,0,0,2012,1646.22960928619,13216,63811
4609,2011-01-02,2011,2011-12-31,1,0,2011,-826.337549108482,13216,63813
4610,2011-01-02,2011,2011-12-31,1,0,2011,-510.691824463373,13216,63813
4611,2012-01-01,2012,2012-03-05,0,0,2012,1671.14929224263,13217,63818
4612,2013-01-01,2013,2013-12-31,0,100,2014,1863.83492036217,13226,63852
4614,2012-01-18,2012,2012-12-31,1,0,2013,2717.52807299291,13229,63866
4615,2012-04-20,2012,2012-07-12,0,0,2013,736.111482487201,13249,63928
4616,2011-01-21,2011,2011-12-31,0,0,2011,641.660279309292,13257,63951
4617,2013-03-04,2013,2013-12-30,1,0,2014,-481.008084471137,13257,63951
4618,2013-01-01,2013,2013-07-28,0,0,2013,4015.45337659678,13264,63983
4619,2012-07-10,2012,2012-08-28,0,0,2012,1510.47554058531,13266,63992
4620,2011-04-15,2011,2011-07-14,1,0,2011,2527.01968360919,13279,64064
4621,2012-08-12,2012,2012-12-31,0,0,2012,1671.05228655638,13285,64103
4622,2011-08-25,2011,2011-12-31,1,0,2012,-297.548774954853,13286,64108
4624,2012-06-04,2012,2012-11-11,0,0,2012,2162.01962148243,13288,64120
4629,2013-07-01,2013,2013-12-31,0,0,2014,3816.71028229146,13301,64159
4630,2012-01-01,2012,2012-02-09,0,0,2012,979.983777717532,13303,64166
4631,2013-01-01,2013,2013-12-31,0,0,2013,919.51689995557,13309,64190
4632,2012-01-01,2012,2012-12-31,1,0,2012,1086.75470304908,13312,64197
4635,2012-02-20,2012,2012-10-04,0,0,2012,2360.90283511233,13318,64228
4636,2011-02-02,2011,2011-05-03,1,50,2011,1756.06160293938,13323,64240
4637,2011-02-02,2011,2011-05-03,1,0,2012,-202.849668356529,13323,64241
4638,2013-09-13,2013,2013-12-31,0,0,2014,2566.33932176884,13323,64247
4639,2012-01-01,2012,2012-12-31,0,0,2012,990.460391832439,13338,64307
4640,2011-02-02,2011,2011-12-31,0,0,2012,3090.29936842917,13339,64309
